Cluster, Domain, DomianType
Cluster 0, googlesyndication.com, -1
Cluster 0, 120askimages.com, -1
Cluster 0, xj-online.com, 1
Cluster 0, google.com, -1
Cluster 0, itc.cn, -1
Cluster 0, newrelic.com, -1
Cluster 0, gentags.net, -1
Cluster 0, zt-express.com, -1
Cluster 0, iotts.net, 1
Cluster 0, 365yg.com, -1
Cluster 0, tmall.com, -1
Cluster 0, adnxs.com, -1
Cluster 0, eyerising.com, 1
Cluster 0, so.com, -1
Cluster 0, meitudata.com, -1
Cluster 0, windows.com, 0
Cluster 0, ppmoney.com, 1
Cluster 0, uncentury.com, -1
Cluster 0, kakaocdn.net, -1
Cluster 0, googletagmanager.com, -1
Cluster 0, fuwo.com, -1
Cluster 0, morefun-et.com, 1
Cluster 0, zenlane.com, 1
Cluster 0, redstone.net.cn, 0
Cluster 0, gmail.com, -1
Cluster 0, ljcdn.com, -1
Cluster 0, appsflyer.com, -1
Cluster 0, duapps.com, -1
Cluster 0, cdngc.net, 0
Cluster 0, fbcdn.net, -1
Cluster 0, gccdn.net, -1
Cluster 0, qktoutiao.com, -1
Cluster 0, app-measurement.com, -1
Cluster 0, c-ctrip.com, -1
Cluster 0, 70mai.com.cn, 1
Cluster 0, iesdouyin.com, 0
Cluster 0, zcdsp.com, 0
Cluster 0, growingio.com, -1
Cluster 0, office365.com, -1
Cluster 0, zol.com.cn, -1
Cluster 0, zhibo8.cc, -1
Cluster 0, ctrip.com, -1
Cluster 0, matocloud.com, -1
Cluster 0, eftpay.com.cn, 1
Cluster 0, googleapis.cn, 0
Cluster 0, tongdun.net, -1
Cluster 0, eastmoney.com, 0
Cluster 0, lakala.com, 1
Cluster 0, 360safe.com, -1
Cluster 0, hitv.com, -1
Cluster 0, alipaydns.com, 0
Cluster 0, youni.im, -1
Cluster 0, samsungfeed.com, -1
Cluster 0, weibo.cn, -1
Cluster 0, 99.com.cn, -1
Cluster 0, bizport.cn, -1
Cluster 0, ksyun.com, -1
Cluster 0, hp888.com, -1
Cluster 0, bydauto.com.cn, 1
Cluster 0, xxhszx.com, -1
Cluster 0, smartisan.com, 1
Cluster 0, outlook.com, -1
Cluster 0, wiselbs.cn, 0
Cluster 0, aliyuncs.com, 0
Cluster 0, hotmail.com, -1
Cluster 0, kugou.net, -1
Cluster 0, lixms.com, -1
Cluster 0, zjs.com.cn, 1
Cluster 0, yahoo.com, -1
Cluster 0, symcd.com, -1
Cluster 0, suning.com, -1
Cluster 0, inke.cn, -1
Cluster 0, icbc.com.cn, 1
Cluster 0, 25pp.com, -1
Cluster 0, samsungcard.com, -1
Cluster 0, 10jqka.com.cn, -1
Cluster 0, lkme.cc, -1
Cluster 0, yilan.tv, -1
Cluster 0, xiaohongshu.com, -1
Cluster 0, webterren.com, -1
Cluster 0, zuimeitianqi.com, -1
Cluster 0, jlpay.com, 1
Cluster 0, appvipshop.com, -1
Cluster 0, iqiyi.com, 0
Cluster 0, alibaba-inc.com, -1
Cluster 0, qufenqi.com, -1
Cluster 0, vpimg4.com, -1
Cluster 0, mifile.cn, -1
Cluster 0, xuanmo.me, -1
Cluster 0, teamviewer.com, 0
Cluster 0, hbjk.com.cn, 1
Cluster 0, duokanbox.com, -1
Cluster 0, haiyaxiyi.cn, 1
Cluster 0, friggatech.com, -1
Cluster 0, sbixby.com, -1
Cluster 0, techtotop.com, -1
Cluster 0, 4399.com, -1
Cluster 0, weibo.com, -1
Cluster 0, audi-connect.cn, 1
Cluster 0, qyer.com, -1
Cluster 0, kakao.com, -1
Cluster 0, izatcloud.net, 0
Cluster 0, bootcss.com, -1
Cluster 0, naver.net, -1
Cluster 0, joyoung.com, -1
Cluster 0, yystatic.com, -1
Cluster 0, 160.com, -1
Cluster 0, googleapis.com, 0
Cluster 0, useeasy.cn, -1
Cluster 0, landfone.cn, -1
Cluster 0, reachmax.cn, -1
Cluster 0, criteo.com, -1
Cluster 0, xunlei.com, -1
Cluster 0, dftcgroup.com, -1
Cluster 0, google-analytics.com, -1
Cluster 0, 51y5.net, 0
Cluster 0, bdimg.com, 0
Cluster 0, msftconnecttest.com, -1
Cluster 0, appnxt.net, -1
Cluster 0, uuuo.com, -1
Cluster 0, jpush.cn, 0
Cluster 0, weather.com.cn, -1
Cluster 0, zto.cn, 1
Cluster 0, huawei.com, 0
Cluster 0, kt.com, -1
Cluster 0, hexin.cn, -1
Cluster 0, xywy.com, -1
Cluster 0, 71edge.com, -1
Cluster 0, bdydns.com, -1
Cluster 0, 99bill.com, 1
Cluster 0, ztjystore.cn, -1
Cluster 0, fotapro.com, -1
Cluster 0, douyu.com, -1
Cluster 0, qiku.com, 1
Cluster 0, bbobo.com, -1
Cluster 0, samsungosp.com, -1
Cluster 0, jpush.io, 0
Cluster 0, etouch.cn, -1
Cluster 0, wpsmail.net, -1
Cluster 0, ceair.com, 1
Cluster 0, sealan-tech.com, -1
Cluster 0, hditcloud.com, 1
Cluster 0, rayjump.com, -1
Cluster 0, onemilea.com, -1
Cluster 0, meituan.com, 0
Cluster 0, zhimg.com, -1
Cluster 0, qutu.com, -1
Cluster 0, vip.com, -1
Cluster 0, daumcdn.net, -1
Cluster 0, cmcm.com, -1
Cluster 0, jeppesen.com, -1
Cluster 0, zsouth.com, -1
Cluster 0, n0808.com, -1
Cluster 0, 3.cn, -1
Cluster 0, douguo.net, -1
Cluster 0, 5iretail.com, -1
Cluster 0, wsds.cn, -1
Cluster 0, tencent.com, -1
Cluster 0, cpsdna.com, -1
Cluster 0, easemob.com, -1
Cluster 0, ireader.com, -1
Cluster 0, adgomob.com, 1
Cluster 0, letv.com, -1
Cluster 0, office.com, -1
Cluster 0, ifeng.com, -1
Cluster 0, weimob.com, -1
Cluster 0, skybluead.com, -1
Cluster 0, moji.com, -1
Cluster 0, shianxin.net, 1
Cluster 0, ks-cdn.com, -1
Cluster 0, abchina.com, 1
Cluster 0, yjs-cdn.com, -1
Cluster 0, yundasys.com, 1
Cluster 0, hoopchina.com.cn, -1
Cluster 0, neiweiguan.cn, -1
Cluster 0, fastlinkchina.com, 1
Cluster 0, tencentmind.com, -1
Cluster 0, amazonaws.com, 0
Cluster 0, gridsumdissector.com, -1
Cluster 0, postar.cn, 1
Cluster 0, ecitic.com, -1
Cluster 0, intel.com, -1
Cluster 0, branch.io, -1
Cluster 0, neixin.cn, 1
Cluster 0, mgtv.com, 0
Cluster 0, 189.cn, 1
Cluster 0, demdex.net, -1
Cluster 0, ip138.com, -1
Cluster 0, vmallres.com, -1
Cluster 0, km.com, -1
Cluster 0, mediav.com, -1
Cluster 0, nate.com, -1
Cluster 0, navercorp.com, -1
Cluster 0, kuaishou.com, -1
Cluster 0, mwcloudcdn.com, -1
Cluster 0, doubleclick.net, -1
Cluster 0, msstatic.com, -1
Cluster 0, 00cdn.com, -1
Cluster 0, ccgslb.com.cn, -1
Cluster 0, 360kan.com, 0
Cluster 0, kuwo.cn, 0
Cluster 0, chongdian.club, 1
Cluster 0, idqqimg.com, -1
Cluster 0, pconline.com.cn, -1
Cluster 0, qiyipic.com, 0
Cluster 0, newlandpayment.com, 1
Cluster 0, fb.com, -1
Cluster 0, vmall.com, 0
Cluster 0, ulmon.com, -1
Cluster 0, qstaxi.net, -1
Cluster 0, xiami.com, -1
Cluster 0, qnssl.com, -1
Cluster 0, widerplanet.com, -1
Cluster 0, kascend.com, -1
Cluster 0, msftncsi.com, -1
Cluster 0, wps.cn, -1
Cluster 0, 1234567.com.cn, -1
Cluster 0, alikunlun.com, 0
Cluster 0, g.cn, 0
Cluster 0, youzan.com, -1
Cluster 0, ijinshan.com, -1
Cluster 0, tl88.net, -1
Cluster 0, qhres.com, -1
Cluster 0, canonical.com, -1
Cluster 0, crashlytics.com, -1
Cluster 0, xiaomi.cn, -1
Cluster 0, liebao.cn, -1
Cluster 0, baidustatic.com, -1
Cluster 0, xf-yun.com, 0
Cluster 0, dengyanyu.com, -1
Cluster 0, bytedns.net, 0
Cluster 0, qhimgs3.com, -1
Cluster 0, qiyi.com, -1
Cluster 0, baozoukanshu.com, -1
Cluster 0, 8g.cn, 1
Cluster 0, fxxz.com, -1
Cluster 0, kugou.com, 0
Cluster 0, tarollcake.com, -1
Cluster 0, zhuishushenqi.com, -1
Cluster 0, aispeech.com, -1
Cluster 0, nshc.net, -1
Cluster 0, miui.com, 0
Cluster 0, thsi.cn, -1
Cluster 0, yunovo.cn, 1
Cluster 0, flyasiana.com, -1
Cluster 0, abeacon.com, -1
Cluster 0, p2cdn.com, -1
Cluster 0, jdpay.com, -1
Cluster 0, gionee.com, -1
Cluster 0, kgimg.com, -1
Cluster 0, 51fubei.com, -1
Cluster 0, qhcdn.com, -1
Cluster 0, fxltsbl.com, -1
Cluster 0, jimiagps.com, -1
Cluster 0, baifubao.com, -1
Cluster 0, qcloud.com, -1
Cluster 0, momocdn.com, -1
Cluster 0, mobileapptracking.com, -1
Cluster 0, mookie1.cn, -1
Cluster 0, meitu.com, -1
Cluster 0, cmread.com, -1
Cluster 0, flyme.cn, -1
Cluster 0, kunlunpi.com, -1
Cluster 0, amemv.com, -1
Cluster 0, akadns.net, 1
Cluster 0, gmw.cn, -1
Cluster 0, autonavi.com, 0
Cluster 0, bing.net, -1
Cluster 0, sto.cn, -1
Cluster 0, dingyueads.com, -1
Cluster 0, cloudfront.net, -1
Cluster 0, dongtu.com, -1
Cluster 0, oppomobile.com, 0
Cluster 0, toutiao.com, 0
Cluster 0, meizu.com, 0
Cluster 0, 3g-elec.com, 1
Cluster 0, xmcdn.com, 0
Cluster 0, uczzd.cn, -1
Cluster 0, mozilla.com, -1
Cluster 0, leancloud.cn, -1
Cluster 0, meituan.net, 0
Cluster 0, shuqireader.com, -1
Cluster 0, fanxing.com, -1
Cluster 0, shouqianba.com, 1
Cluster 0, weather.com, -1
Cluster 0, sunmi.com, 1
Cluster 0, u-blox.com, -1
Cluster 0, ahnlab.com, -1
Cluster 0, ykimg.com, -1
Cluster 0, qchannel04.cn, -1
Cluster 0, ntalker.com, -1
Cluster 0, wsglb0.com, -1
Cluster 0, googleadservices.com, -1
Cluster 0, googleadsserving.cn, -1
Cluster 0, ourdvs.com, -1
Cluster 0, snow.me, -1
Cluster 0, car-cloud.org, -1
Cluster 0, nuomi.com, -1
Cluster 0, jd.com, 0
Cluster 0, didapinche.com, -1
Cluster 0, shuncom.com.cn, -1
Cluster 0, shuzilm.cn, -1
Cluster 0, ucloudlink.com, 1
Cluster 0, akamaiedge.net, -1
Cluster 0, pinduoduo.com, -1
Cluster 0, gvt2.com, -1
Cluster 0, samsung.com, -1
Cluster 0, live.com, -1
Cluster 0, voicecloud.cn, 0
Cluster 0, adfuture.cn, -1
Cluster 0, uc.cn, 0
Cluster 0, zhihu.com, -1
Cluster 0, dimiccs.com, -1
Cluster 0, dianhua.cn, -1
Cluster 0, haosou.com, -1
Cluster 0, netease.im, -1
Cluster 0, elemecdn.com, -1
Cluster 0, xcar.com.cn, -1
Cluster 0, 3566ad.com, -1
Cluster 0, gps688.com, 1
Cluster 0, sina.com.cn, 0
Cluster 0, dcloud.net.cn, 1
Cluster 0, pubds.com, 1
Cluster 0, amazonaws.com.cn, 0
Cluster 0, 51kuaibi.com, 1
Cluster 0, ourglb0.com, -1
Cluster 0, ksosoft.com, -1
Cluster 0, iboxpay.com, 1
Cluster 0, basewin.com, 1
Cluster 0, immomo.com, -1
Cluster 0, 11222.cn, -1
Cluster 0, dayu.com, -1
Cluster 0, mopub.com, -1
Cluster 0, quanmin.tv, -1
Cluster 0, tingyun.com, -1
Cluster 0, itunes.com, -1
Cluster 0, sm.cn, -1
Cluster 0, 365daoyou.cn, -1
Cluster 0, avlyun.com, -1
Cluster 0, icloud.com, 0
Cluster 0, china.cn, -1
Cluster 0, vodofo.com, 1
Cluster 0, alikunlun.net, -1
Cluster 0, sohu.com, 0
Cluster 0, 4sqi.net, -1
Cluster 0, google.cn, 0
Cluster 0, didistatic.com, 1
Cluster 0, kingsoft-office-service.com, -1
Cluster 0, pstatic.net, 0
Cluster 0, apple.com, 0
Cluster 0, baiduyundns.com, -1
Cluster 0, cnzz.com, 0
Cluster 0, taobaocdn.com, -1
Cluster 0, diatiantian.com, -1
Cluster 0, igetget.com, -1
Cluster 0, taboola.com, -1
Cluster 0, panda.tv, -1
Cluster 0, mybank.cn, -1
Cluster 0, huanqiu.com, -1
Cluster 0, taopiaopiao.com, -1
Cluster 0, alipayobjects.com, -1
Cluster 0, didialift.com, -1
Cluster 0, sm-tc.cn, -1
Cluster 0, dbankcdn.com, -1
Cluster 0, mipcdn.com, -1
Cluster 0, autohome.com.cn, -1
Cluster 0, mafengwo.net, -1
Cluster 0, qhimg.com, -1
Cluster 0, ad-brix.com, -1
Cluster 0, vungle.cn, -1
Cluster 0, miaopai.com, -1
Cluster 0, loveota.com, -1
Cluster 0, corp3g.cn, -1
Cluster 0, moatads.com, -1
Cluster 0, bianlifeng.com, 1
Cluster 0, wkanx.com, -1
Cluster 0, dunamu.com, -1
Cluster 0, xycdn.com, -1
Cluster 0, uczzd.net, 1
Cluster 0, zampdsp.com, -1
Cluster 0, 2345.com, -1
Cluster 0, cootek.com, -1
Cluster 0, qidian.com, -1
Cluster 0, mi-img.com, -1
Cluster 0, coloros.com, -1
Cluster 0, snssdk.com, 0
Cluster 0, pptv.com, -1
Cluster 0, wifi8.com, -1
Cluster 0, lingxicloud.com, -1
Cluster 0, mi.com, 0
Cluster 0, guahao.cn, -1
Cluster 0, cdninstagram.com, -1
Cluster 0, starpos.com.cn, 1
Cluster 0, keycoin.cn, -1
Cluster 0, cootekservice.com, 0
Cluster 0, ksmobile.net, -1
Cluster 0, samqaicongen.com, -1
Cluster 0, isonf.com, 1
Cluster 0, dfcfw.com, -1
Cluster 0, ele.me, 0
Cluster 0, samsungapps.com, -1
Cluster 0, wni.com, -1
Cluster 0, sudiyi.cn, 1
Cluster 0, swiftpass.cn, 1
Cluster 0, accuweather.com, 0
Cluster 0, gongxiangchongdianbao.org, -1
Cluster 0, hao123.com, -1
Cluster 0, bing.com, -1
Cluster 0, sinajs.cn, -1
Cluster 0, sourcetech.cn, -1
Cluster 0, duba.com, -1
Cluster 0, ximalaya.com, -1
Cluster 0, adjust.com, -1
Cluster 0, icancontrol.com, 0
Cluster 0, imxingzhe.com, -1
Cluster 0, xiaomi.com, 0
Cluster 0, yidianzixun.com, -1
Cluster 0, okcashbag.com, -1
Cluster 0, digicert.com, -1
Cluster 0, wpscdn.cn, -1
Cluster 0, alimama.com, -1
Cluster 0, woewr.cn, -1
Cluster 0, youzanyun.com, -1
Cluster 0, gitv.tv, -1
Cluster 0, calliance.com.cn, 1
Cluster 0, v2ex.co, -1
Cluster 0, jdcdn.com, -1
Cluster 0, go2yd.com, -1
Cluster 0, huidesichuang.com, 1
Cluster 0, ilinkn.com, 1
Cluster 0, sssyin.cn, 1
Cluster 0, 360buyimg.com, -1
Cluster 0, tanwan.com, 0
Cluster 0, ofo.com, -1
Cluster 0, game-mode.net, -1
Cluster 0, ifengimg.com, -1
Cluster 0, myzaker.com, -1
Cluster 0, 10086.cn, -1
Cluster 0, lenovo.com.cn, -1
Cluster 0, chinaumswh.com, -1
Cluster 0, bookapi.cn, -1
Cluster 0, tenpay.com, -1
Cluster 0, msedge.net, -1
Cluster 0, cnitcloud.com, -1
Cluster 0, ccb.com.cn, 1
Cluster 0, yunos.com, 0
Cluster 0, navercdn.com, 0
Cluster 0, kingsoft.com, -1
Cluster 0, openluat.com, 0
Cluster 0, dnsv1.com, -1
